,user,text,favorite_count,retweet_count,created_at
78,elonmusk,@cb_doge @Twitter @mayemusk @Tesla @SpaceX 🔥🔥,8057,357,2023-02-10 20:58:55+00:00
79,elonmusk,https://t.co/Q1VvqV5G0i https://t.co/YjGzTgmoJv,37671,3451,2023-02-10 20:55:20+00:00
80,elonmusk,@Hyundai @kevinbacon Press the heart,3770,148,2023-02-10 20:11:40+00:00
81,elonmusk,@TheBabylonBee 🤣,12885,459,2023-02-10 18:19:42+00:00
82,elonmusk,@DriveTeslaca Sigh,20512,681,2023-02-10 18:18:57+00:00
83,elonmusk,https://t.co/DyLoEI0Rps,20713,1373,2023-02-10 18:11:27+00:00
84,elonmusk,@teslaownersSV It will change the look of the roads,65353,2662,2023-02-10 17:41:54+00:00
85,elonmusk,@RiaRevealed Legacy blue checks will be removed soon. Those are the ones that are truly corrupt.,124462,9597,2023-02-10 17:26:46+00:00
86,elonmusk,And making a day in the life videos https://t.co/Rfx2qJTKvp,65546,5140,2023-02-10 17:12:13+00:00
87,elonmusk,@BillyM2k 🤣🤣,17759,644,2023-02-10 17:09:24+00:00
88,elonmusk,"@WholeMarsBlog Yeah, the format is terrible. Update early next week.",22433,1058,2023-02-10 11:37:23+00:00
89,elonmusk,.,272152,17947,2023-02-10 01:57:35+00:00
90,elonmusk,"@CatherinScience I must admit to being congenitally optimistic (SpaceX &amp; Tesla wouldn’t exist otherwise), but I think 5 years is possible and 10 years is highly likely",9367,720,2023-02-09 23:23:11+00:00
91,elonmusk,"One day, Starship will take us to Mars https://t.co/oMrnBIiBjY",127228,11429,2023-02-09 23:12:19+00:00
92,elonmusk,"Team turned off 1 engine just before start &amp; 1 stopped itself, so 31 engines fired overall.

But still enough engines to reach orbit! https://t.co/QYx3oVM4Gw",62667,5699,2023-02-09 21:20:11+00:00
93,elonmusk,Attempting Starship 33 engine static fire https://t.co/FJ3tLsnlck,37032,3287,2023-02-09 21:00:10+00:00
94,elonmusk,@BillyM2k Yes!,11577,524,2023-02-09 20:03:08+00:00
95,elonmusk,"@WholeMarsBlog Too many journalists want to shape your opinion, rather than inform you",180921,20513,2023-02-09 18:47:36+00:00
96,elonmusk,@TrungTPhan It’s legit day 3 at this point,11399,444,2023-02-09 18:22:11+00:00
97,elonmusk,@TrungTPhan 🤣,4400,170,2023-02-09 18:21:23+00:00
98,elonmusk,@B_Morrows Exactly,4097,307,2023-02-09 08:24:24+00:00
99,elonmusk,@Rainmaker1973 That engine performed an incredible number of transformations to match Mach number!,14279,621,2023-02-09 08:17:05+00:00
100,elonmusk,https://t.co/5cgHGSirJd,19810,2315,2023-02-09 07:57:19+00:00
101,elonmusk,Recommendation algorithm should be fixed tomorrow,149680,10627,2023-02-09 07:51:56+00:00
102,elonmusk,The Woke Stasi felt the heat today 🔥,207924,19950,2023-02-09 07:48:10+00:00
